id,name,type,sex,origin,genre,language,year,second year,tracks
JimmyG,Jimmy Giannos,2,NA,NA,NA,NA,NA,,
Jimm,Jimmy Napes,2,2,1,NA,NA,NA,,
Joha,Johan Carlsson,2,,,NA,NA,NA,,
Johnny,Johnny McDaid,2,2,1,NA,NA,NA,,
JohnR,John Ryan,2,2,2,NA,NA,NA,,
JohnN,John Newton,2,2,2,NA,NA,NA,,
Jonn,Jonny Buckland,2,2,1,NA,NA,NA,,
Jord,Jordan Ware,2,2,2,NA,NA,NA,,
Josh,Josh Gudwin,2,2,2,NA,NA,NA,,
JuliaM,Julia Michaels,2,1,2,NA,NA,NA,,
Juli,Julian Bunetta,2,2,2,NA,NA,NA,,
Just,Justin Bieber,2,2,1,NA,NA,NA,,
JustinTr,Justin Tranter,2,2,2,NA,NA,NA,,
Kany,Kanye West,2,,,NA,NA,NA,,
Kare,Karen Thronton,2,1,NA,NA,NA,NA,,
Karl,Karl Rubin,2,2,,NA,NA,NA,,
Keit,Keith Richards,2,2,1,NA,NA,NA,,
Kevi,Kevin Kadish,2,2,2,NA,NA,NA,,
Labr,Labrinth,2,,,NA,NA,NA,,
Lana,Lana Del Rey,2,,,NA,NA,NA,,
Laur,Laura Welsh,2,1,1,NA,NA,NA,,
Liam,Liam Payne,2,2,1,NA,NA,NA,,
Loui,Louis Tomlinson,2,2,1,NA,NA,NA,,
Lunc,LunchMoney Lewis,2,2,2,NA,NA,NA,,
Made,Made in the A.M. by One Direction,1,NA,NA,,,2016,17,
Mano,Mano,2,,,NA,NA,NA,,
Mark,Mark „The Mogul“ Jackson,2,2,,NA,NA,NA,,
Matt,Matt Prime,2,2,1,NA,NA,NA,,
MattM,Matt Morales,2,2,,NA,NA,NA,,
MaxM,Max Martin,2,2,9,NA,NA,NA,,
MdL,MdL,2,2,2,NA,NA,NA,,
Megh,Meghan Trainor,2,1,2,NA,NA,NA,,
Mick,Mick Jagger,2,2,1,NA,NA,NA,,
MIKE,MIKE DEAN,2,2,2,NA,NA,NA,,
Mike,Mike Needle,2,2,1,NA,NA,NA,,
Mikk,Mikkel Storleer Eriksen,2,2,,NA,NA,NA,,
MoZe,MoZella,2,1,2,NA,NA,NA,,
Nial,Niall Horan,2,2,10,NA,NA,NA,,
Nico,Nico Stadi,2,2,10,NA,NA,NA,,
Noah,Noah Goldstein,2,,,NA,NA,NA,,
Oliv,Oliver Kraus,2,2,3,NA,NA,NA,,
Osma,Osman Ismen,2,,,NA,NA,NA,,
Paul,Paul Epworth,2,2,1,NA,NA,NA,,
Pete,Peter Svensson,2,,,NA,NA,NA,,
Phar,Pharrell Williams,2,2,2,NA,NA,NA,,
Phil,Philip Lawrence,2,2,2,NA,NA,NA,,
PooB,Poo Bear,2,2,2,NA,NA,NA,,
Purp,Purpose by Justin Bieber,1,NA,NA,1,1,2016,14,
Rich,Rich Harrison,2,2,2,NA,NA,NA,,
Robe,Robert Holmes,2,,,NA,NA,NA,,
RonN,Ron „NEFF-U“ Feemster,2,2,2,NA,NA,NA,,
Ross,Ross Golan,2,2,2,NA,NA,NA,,
Rudi,Rudimental,2,2,1,NA,NA,NA,,
Rumi,Rumi,2,,,NA,NA,NA,,
Ryan,Ryan Tedder,2,2,2,NA,NA,NA,,
Sabah,Sabahattin Ali,2,,,NA,NA,NA,,
SamS,Sam Smith,3,2,1,NA,NA,NA,,
Samu,Samuel Dixon,2,2,8,NA,NA,NA,,
Sara,Sarah Hudson,2,1,2,NA,NA,NA,,
Sava,Savan Kotecha,2,2,2,NA,NA,NA,,
Scoo,Scooter Braun,2,2,,NA,NA,NA,,
Scre,Screamin’ Jay Hawkins,2,2,2,NA,NA,NA,,
Shel,Shellback,2,2,9,NA,NA,NA,,
ShyC,Shy Carter,2,,,NA,NA,NA,,
Sia,Sia,2,1,8,NA,NA,NA,,
Simo,Simon Aldred,2,2,1,NA,NA,NA,,
Skri,Skrillex,2,2,2,NA,NA,NA,,
Skyl,Skylar Grey,2,1,2,NA,NA,NA,,
Step,Stephan Moccio,2,2,7,NA,NA,NA,,
Stev,Steve James,2,2,2,NA,NA,NA,,
Tayl,Taylor Swift,2,1,2,NA,NA,NA,,
TheW,The Weeknd,2,2,7,NA,NA,NA,,
Thom,Thomas Troelsen,2,2,10,NA,NA,NA,,
Thoma,Thomas Raybould,2,,,NA,NA,NA,,
Titl,Title by Meghan Traiinor,1,NA,NA,1,1,2016,15,
TMS,TMS,2,team,1,NA,NA,NA,,
Tobi,Tobias Jesso Jr.,2,2,7,NA,NA,NA,,
Todd,Todd Carey,2,2,2,NA,NA,NA,,
TomP,Tom Petty,2,2,2,NA,NA,NA,,
TorE,Tor Erik Hermansen,2,2,10,NA,NA,NA,,
Tour,Tourist,2,2,1,NA,NA,NA,,
Tove,Tove Lo,2,1,9,NA,NA,NA,,
Trav,Travis Scott,2,2,2,NA,NA,NA,,
TwoI,Two Inch Punch,2,2,1,NA,NA,NA,,
Wayn,Wayne Hector,2,2,1,NA,NA,NA,,
WillChampl,Will Champlin,2,2,2,NA,NA,NA,,
WillC,Will Champion,2,2,1,NA,NA,NA,,
X,X by Ed Sheeran,1,Na,NA,1,1,2016,12,
JustinW,Justin Weaver,1,2,,,,,,
