id,name,type,sex,origin,genre,language,year,second year,tracks
Burt,Burt Bacharach,1,2,2,NA,NA,NA,NA,NA
Cardi,Cardiak,1,2,2,NA,NA,NA,NA,NA
Card,Cardo,1,2,2,NA,NA,NA,NA,
Carla,Carla Marie,1,,,NA,NA,NA,NA,NA
Carl,Carl Thompson,1,,,NA,NA,NA,NA,NA
CatD,Cat Daddy Ro,1,NA,NA,NA,NA,NA,NA,
Curt,Curtis ‘Sauce‘ Wilson,1,2,NA,NA,NA,NA,NA,
Damo,Damon Yul „Kool Rock-Ski“ Wimbley,1,2,,,,,,
Dani,Daniel Daley,1,2,7,NA,NA,NA,NA,NA
Dann,DannyBoyStyles,1,2,2,NA,NA,NA,NA,NA
Darr,Darren Robinson,1,2,,,,,,
Dave,Dave Goode,1,2,NA,NA,NA,NA,NA,NA
DavidH,David Harrisingh,1,2,,NA,NA,NA,NA,NA
DavidC,David Carty,1,2,,NA,NA,NA,NA,NA
Davi,David Bowie,1,2,1,NA,NA,NA,NA,NA
Daxz,Daxz,1,NA,NA,NA,NA,NA,NA,
Dean,Dean McIntosh,1,,,NA,NA,NA,NA,NA
Devi,Devin Goode,1,2,NA,NA,NA,NA,NA,NA
Dian,Diana Wynter Gordon,1,1,2,NA,NA,NA,NA,NA
Didd,Diddy,1,2,2,NA,NA,NA,NA,NA
DiGe,Di Genius,1,2,10,NA,NA,NA,NA,
Dipl,Diplo,1,2,2,NA,NA,NA,NA,NA
DJDa,DJ Dahi,1,2,2,NA,NA,NA,NA,NA
DJKh,DJ Khaled,1,2,2,NA,NA,NA,NA,NA
DJMa,DJ Maphorisa,1,2,10,NA,NA,NA,NA,NA
DJPa,DJ Paleface,1,NA,NA,NA,NA,NA,NA,NA
DocP,Doc Pomus,1,2,2,NA,NA,NA,NA,NA
Dona,Donald Dennis,1,,,NA,NA,NA,NA,NA
Drak,Drake,1,2,7,NA,NA,NA,NA,NA
DreS,Dre Skull,1,2,2,NA,NA,NA,NA,NA
Eddi,Eddie Taylor,1,2,2,NA,NA,NA,NA,NA
Edga,Edgar Key,1,,,NA,NA,NA,NA,NA
Emil,Emile Haynie,1,2,2,NA,NA,NA,NA,NA
Erro,Errol Reid,1,,,NA,NA,NA,NA,
Ewar,Ewart Abner,1,2,2,NA,NA,NA,NA,NA
Ezra,Ezra Koenig,1,2,2,NA,NA,NA,NA,NA
Fait,Faith Evans,1,1,2,NA,NA,NA,NA,NA
Fath,Father John Misty,1,2,2,NA,NA,NA,NA,NA
Fluk,Flukes,1,,,NA,NA,NA,NA,
Fran,Frank Tirado,1,,,NA,NA,NA,NA,NA
Frank,Frank Dukes,1,2,7,NA,NA,NA,NA,
Fred,Fred Jerkins III,1,2,2,NA,NA,NA,NA,NA
Futu,Future,1,2,2,NA,NA,NA,NA,NA
Garu,Garu Jackson,1,2,2,NA,NA,NA,NA,
Geol,Geologist,1,2,2,NA,NA,NA,NA,NA
HalD,Hal David,1,2,2,NA,NA,NA,NA,NA
Howl,Howlin‘Wolf,1,2,2,NA,NA,NA,NA,NA
Ilse,Ilsey,1,,,NA,NA,NA,NA,NA
Ingr,Ingrid,1,,,NA,NA,NA,NA,NA
Irvi,Irving Berlin,1,2,10,NA,NA,NA,NA,NA
Jack,Jack White,1,2,2,NA,NA,NA,NA,NA
James,James Blake,1,2,1,NA,NA,NA,NA,NA
JamesP,James Page,1,2,1,NA,NA,NA,NA,NA
JAY-Z,JAY-Z,1,2,2,NA,NA,NA,NA,
JCCh,J.C. Chasez,1,2,2,NA,NA,NA,NA,NA
Jerr,Jerry West,1,2,2,NA,NA,NA,NA,NA
Jimm,Jimmy Reed,1,2,2,NA,NA,NA,NA,NA
John,Johntá Austin,1,2,2,NA,NA,NA,NA,NA
JohnB,John Bonham – Schlagzeuger,1,2,1,NA,NA,NA,NA,NA
JohnL,John Lomax,1,,,NA,NA,NA,NA,NA
JohnP,John Paul Jones – Bassist,1,2,1,NA,NA,NA,NA,NA
JonL,Jon Levine,1,2,7,NA,NA,NA,NA,NA
Jonn,Jonny Coffer,1,,,NA,NA,NA,NA,NA
Jorda,Jordan Frost,1,,,NA,NA,NA,NA,NA
Jord,Jordan Ullman,1,2,7,NA,NA,NA,NA,NA
JRM,JRM,1,,,NA,NA,NA,NA,NA
JustT,Justin Timberlake,1,2,2,NA,NA,NA,NA,NA
Kany,Kanye West,1,2,2,NA,NA,NA,NA,NA
Kare,Karen O,1,1,10,NA,NA,NA,NA,NA
Ke‘no,Ke‘noe,1,2,2,NA,NA,NA,NA,NA
Kend,Kendrick Lamar,1,,,NA,NA,NA,NA,NA
Kenz,Kenza Samir,1,1,NA,NA,NA,NA,NA,NA
KevinGo,Kevin Gomringer,1,2,3,NA,NA,NA,NA,NA
Kevi,Kevin Olusola,1,2,2,NA,NA,NA,NA,NA
Kevin,Kevin Hicks,1,2,NA,NA,NA,NA,NA,NA
KevinC,Kevin Cossom,1,,,NA,NA,NA,NA,NA
KevinG,Kevin Garrett,1,2,,,,,,
KevinM,Kevin McConnell,1,,,NA,NA,NA,NA,NA
KimG,Kim Gannon,1,2,2,NA,NA,NA,NA,NA
Kirs,Kirstin Maldonado,1,1,2,NA,NA,NA,NA,NA
Kodi,Kodi Starr,1,,,NA,NA,NA,NA,
Kool,Kool Rock Ski,1,2,NA,NA,NA,NA,NA,
Kyla,Kyla,1,1,1,NA,NA,NA,NA,
LaSh,LaShawn Daniels,1,2,2,NA,NA,NA,NA,NA
Lemo,Lemonade by Beyonce,2,NA,NA,7,1,2017,,12
Leon,Leonard Cohen,1,2,7,NA,NA,NA,NA,NA
Lerm,Lermon Horton,1,2,2,NA,NA,NA,NA,NA
Litt,Little Walter,1,2,2,NA,NA,NA,NA,NA
Loga,Logan Sama,1,2,1,NA,NA,NA,NA,
Magi,Magic Sam,1,2,2,NA,NA,NA,NA,NA
Maji,Majid Al Maskati,1,2,7,NA,NA,NA,NA,
Malc,Malcolm McLaren,1,2,1,NA,NA,NA,NA,NA
Mali,Malik Yusef,1,,,NA,NA,NA,NA,NA
Mane,Maneesh,1,2,7,NA,NA,NA,NA,NA
Mari,Maria Schneider,1,1,2,NA,NA,NA,NA,NA
Marv,Marvin Winans,1,2,2,NA,NA,NA,NA,
Mary,Mary J. Blige,1,1,2,NA,NA,NA,NA,NA
Mava,Mavado,1,2,10,NA,NA,NA,NA,NA
MeLo,MeLo-X,1,2,2,NA,NA,NA,NA,NA
Metr,Metro Boomin,1,2,2,NA,NA,NA,NA,
Midi,Midian Mathers,1,,,NA,NA,NA,NA,NA
MIKE,MIKE DEAN,1,2,,NA,NA,NA,NA,NA
MikeO,Mike Olsen,1,2,7,NA,NA,NA,NA,NA
Mike,Mike Elizondo,1,2,2,NA,NA,NA,NA,NA
MikeW,Mike WiLL Made-It,1,2,,NA,NA,NA,NA,NA
Mile,Miles Grayson,1,2,NA,NA,NA,NA,NA,NA
MNEK,MNEK,1,2,1,NA,NA,NA,NA,NA
Mort,Mort Shuman,1,2,2,NA,NA,NA,NA,NA
Murd,Murda Beatz,1,2,7,NA,NA,NA,NA,NA
Nick,Nick Zinner,1,2,2,NA,NA,NA,NA,NA
Nine,Nineteen85,1,2,7,NA,NA,NA,NA,NA
NoID,No I.D.,1,2,2,NA,NA,NA,NA,NA
Noki,Nokio the N-Tity,1,2,2,NA,NA,NA,NA,NA
Otis,Otis Hicks,1,2,2,NA,NA,NA,NA,NA
OZ,OZ,1,2,10,NA,NA,NA,NA,NA
Pand,Panda Bear,1,2,2,NA,NA,NA,NA,NA
PART,PARTYNEXTDOOR,1,2,7,NA,NA,NA,NA,NA
Patr,Patrick Roberts,1,1,8,NA,NA,NA,NA,
Paul,Paul Bateman,1,NA,NA,NA,NA,NA,NA,NA
Phil,Phillip Weatherspoon,1,2,NA,NA,NA,NA,NA,NA
Pimp,Pimp C,1,2,2,NA,NA,NA,NA,NA
Play,Play,1,,,NA,NA,NA,NA,
Plus,Pluss,1,2,2,NA,NA,NA,NA,NA
Popc,Popcaan,1,2,10,NA,NA,NA,NA,
Prin,Prince Markie Dee,1,2,2,NA,NA,NA,NA,
R.Cit,R. City (Duo),1,2,2,NA,NA,NA,NA,NA
RayJ,Ray J,1,2,2,NA,NA,NA,NA,NA
Ricc,Ricci Riera,1,2,2,NA,NA,NA,NA,NA
Riha,Rihanna,1,1,10,NA,NA,NA,NA,
Robe,Robert Plant,1,2,1,NA,NA,NA,NA,NA
Rodn,Rodney Jerkins,1,2,2,NA,NA,NA,NA,NA
Rola,Roland Orzabal,1,2,1,NA,NA,NA,NA,NA
Scot,Scott Hoying,1,2,2,NA,NA,NA,NA,NA
Sera,Serani,1,2,10,NA,NA,NA,NA,NA
Sevn,Sevn Thomas,1,2,7,NA,NA,NA,NA,
Simo,Simon Fung,1,2,1,NA,NA,NA,NA,
Slee,Sleepy Brown,1,2,2,NA,NA,NA,NA,NA
Slim,Slim Jxmmi,1,2,2,NA,NA,NA,NA,NA
Soul,Soulja Boy,1,2,2,NA,NA,NA,NA,NA
Sout,Southside,1,2,2,NA,NA,NA,NA,
Stwo,Stwo,1,2,5,NA,NA,NA,NA,NA
Supa,Supa Dups,1,2,10,NA,NA,NA,NA,
Swae,Swae Lee,1,,,NA,NA,NA,NA,NA
The-D,The-Dream,1,2,2,NA,NA,NA,NA,NA
TheB,The Beat Bully,1,2,2,NA,NA,NA,NA,NA
Ther,Theron Thomas,1,NA,NA,NA,NA,NA,NA,NA
TheW,The Weeknd,1,2,Kanada,NA,NA,NA,NA,NA
TimG,Tim Gomringer,1,2,3,NA,NA,NA,NA,NA
Timm,Timmy Thomas,1,2,2,NA,NA,NA,NA,NA
Timo,Timothy Thomas,1,2,,NA,NA,NA,NA,NA
Trad,Traditional,1,NA,NA,NA,NA,NA,NA,NA
Tyle,Tyler Joseph,1,2,2,NA,NA,NA,NA,NA
View,Views by Drake,2,NA,NA,2,1,2017,NA,20
Vinc,Vincent Berry ׀׀,1,2,2,NA,NA,NA,NA,NA
Vince,Vincent DeGiorgio,1,2,7,NA,NA,NA,NA,NA
Viny,Vinylz,1,2,2,NA,NA,NA,NA,NA
Voyc,Voyce,1,,NA,NA,NA,NA,NA,NA
Walt,Walter Kent,1,2,2,NA,NA,NA,NA,NA
Will,William Young,1,2,NA,NA,NA,NA,NA,NA
Willi,Willie Dixon,1,2,2,NA,NA,NA,NA,NA
Wizk,Wizkid,1,2,10,NA,NA,NA,NA,NA
Worl,Worldwide Fresh,1,NA,NA,NA,NA,NA,NA,NA
Yung,Yung Exclusive,1,2,NA,NA,NA,NA,NA,NA
Crai,Craig Harrisingh,1,2,NA,,,,,
